ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints' Day,All Saints' Day_lower,All Saints' Day_upper,Ascension Day,Ascension Day_lower,Ascension Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Eve,Christmas Eve_lower,Christmas Eve_upper,Easter Monday,Easter Monday_lower,Easter Monday_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Epiphany,Epiphany_lower,Epiphany_upper,Good Friday,Good Friday_lower,Good Friday_upper,Independence Day,Independence Day_lower,Independence Day_upper,May Day,May Day_lower,May Day_upper,Midsummer Day,Midsummer Day_lower,Midsummer Day_upper,Midsummer Eve,Midsummer Eve_lower,Midsummer Eve_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Second Day of Christmas,Second Day of Christmas_lower,Second Day of Christmas_upper,Whit Sunday,Whit Sunday_lower,Whit Sunday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-05-20 15:00:00,0.8547820533502699,0.0,4.0,0.8547820533502699,0.8547820533502699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7564643882008353,0.7564643882008353,0.7564643882008353,0.8105365036721905,0.8105365036721905,0.8105365036721905,0.0,0.0,0.0,-0.054072115471355334,-0.054072115471355334,-0.054072115471355334,0.0,0.0,0.0,2.0
2024-05-20 16:00:00,0.8548248586852969,0.0,4.0,0.8548248586852969,0.8548248586852969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5855980738281291,0.5855980738281291,0.5855980738281291,0.6171406586446471,0.6171406586446471,0.6171406586446471,0.0,0.0,0.0,-0.031542584816517984,-0.031542584816517984,-0.031542584816517984,0.0,0.0,0.0,1.0
2024-05-20 17:00:00,0.8548676640203239,0.0,3.0,0.8548676640203239,0.8548676640203239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30236762794300454,0.30236762794300454,0.30236762794300454,0.31335824748564217,0.31335824748564217,0.31335824748564217,0.0,0.0,0.0,-0.010990619542637602,-0.010990619542637602,-0.010990619542637602,0.0,0.0,0.0,1.0
2024-05-20 18:00:00,0.8549104693553509,0.0,3.0,0.8549104693553509,0.8549104693553509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09064420977078338,-0.09064420977078338,-0.09064420977078338,-0.0981788999968141,-0.0981788999968141,-0.0981788999968141,0.0,0.0,0.0,0.007534690226030684,0.007534690226030684,0.007534690226030684,0.0,0.0,0.0,1.0
2024-05-20 19:00:00,0.8549532746903779,0.0,2.0,0.8549532746903779,0.8549532746903779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49219563727069987,-0.49219563727069987,-0.49219563727069987,-0.5162058828419644,-0.5162058828419644,-0.5162058828419644,0.0,0.0,0.0,0.024010245571264438,0.024010245571264438,0.024010245571264438,0.0,0.0,0.0,0.0
2024-05-20 20:00:00,0.8549960800254048,0.0,2.0,0.8549960800254048,0.8549960800254048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7650837515135893,-0.7650837515135893,-0.7650837515135893,-0.8035221323590631,-0.8035221323590631,-0.8035221323590631,0.0,0.0,0.0,0.038438380845473866,0.038438380845473866,0.038438380845473866,0.0,0.0,0.0,0.0
2024-05-20 21:00:00,0.8550388853604318,0.0,2.0,0.8550388853604318,0.8550388853604318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8392177157938783,-0.8392177157938783,-0.8392177157938783,-0.8900637193813231,-0.8900637193813231,-0.8900637193813231,0.0,0.0,0.0,0.050846003587444864,0.050846003587444864,0.050846003587444864,0.0,0.0,0.0,0.0
2024-05-20 22:00:00,0.8550816906954588,0.0,2.0,0.8550816906954588,0.8550816906954588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7645199925901509,-0.7645199925901509,-0.7645199925901509,-0.8258034398645211,-0.8258034398645211,-0.8258034398645211,0.0,0.0,0.0,0.06128344727437018,0.06128344727437018,0.06128344727437018,0.0,0.0,0.0,0.0
2024-05-20 23:00:00,0.8551244960304859,0.0,2.0,0.8551244960304859,0.8551244960304859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.667195432033804,-0.667195432033804,-0.667195432033804,-0.7370184873966933,-0.7370184873966933,-0.7370184873966933,0.0,0.0,0.0,0.0698230553628892,0.0698230553628892,0.0698230553628892,0.0,0.0,0.0,0.0
2024-05-21 00:00:00,0.8551673013655128,0.0,2.0,0.8551673013655128,0.8551673013655128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6488870816930713,-0.6488870816930713,-0.6488870816930713,-0.7254445999993537,-0.7254445999993537,-0.7254445999993537,0.0,0.0,0.0,0.07655751830628255,0.07655751830628255,0.07655751830628255,0.0,0.0,0.0,0.0
